Date, Open, High, Low, Close
01/25/21, 1.2168, 1.2185, 1.2116, 1.2143
01/22/21, 1.2167, 1.2189, 1.2151, 1.2174
01/21/21, 1.2107, 1.2171, 1.2105, 1.2167
01/20/21, 1.2129, 1.2159, 1.2078, 1.2107
01/19/21, 1.2081, 1.2147, 1.2073, 1.2130
01/18/21, 1.2081, 1.2088, 1.2054, 1.2079
01/15/21, 1.2155, 1.2164, 1.2074, 1.2080
01/14/21, 1.2155, 1.2179, 1.2111, 1.2156
01/13/21, 1.2208, 1.2224, 1.2141, 1.2160
01/12/21, 1.2152, 1.2210, 1.2139, 1.2208
01/11/21, 1.2220, 1.2231, 1.2133, 1.2150
01/08/21, 1.2274, 1.2284, 1.2193, 1.2220
01/07/21, 1.2329, 1.2346, 1.2245, 1.2269
01/06/21, 1.2297, 1.2350, 1.2268, 1.2328
01/05/21, 1.2253, 1.2306, 1.2247, 1.2301
01/04/21, 1.2242, 1.2308, 1.2230, 1.2254
01/01/21, 1.2216, 1.2228, 1.2126, 1.2215
12/31/20, 1.2301, 1.2310, 1.2209, 1.2215
12/30/20, 1.2251, 1.2308, 1.2248, 1.2300
12/29/20, 1.2215, 1.2276, 1.2208, 1.2250
12/28/20, 1.2190, 1.2251, 1.2182, 1.2214
12/25/20, 1.2188, 1.2209, 1.2163, 1.2196
12/24/20, 1.2187, 1.2217, 1.2178, 1.2187
12/23/20, 1.2163, 1.2221, 1.2160, 1.2188
12/22/20, 1.2242, 1.2257, 1.2152, 1.2162
12/21/20, 1.2219, 1.2252, 1.2130, 1.2244
12/18/20, 1.2270, 1.2273, 1.2226, 1.2257
12/17/20, 1.2200, 1.2273, 1.2191, 1.2269
12/16/20, 1.2153, 1.2212, 1.2127, 1.2201
12/15/20, 1.2145, 1.2170, 1.2123, 1.2154
12/14/20, 1.2115, 1.2176, 1.2115, 1.2143
12/11/20, 1.2141, 1.2165, 1.2106, 1.2111
12/10/20, 1.2083, 1.2158, 1.2075, 1.2142
12/09/20, 1.2105, 1.2147, 1.2061, 1.2084
12/08/20, 1.2111, 1.2133, 1.2096, 1.2106
12/07/20, 1.2123, 1.2166, 1.2080, 1.2108
12/04/20, 1.2146, 1.2178, 1.2110, 1.2121
12/03/20, 1.2115, 1.2175, 1.2102, 1.2148
12/02/20, 1.2070, 1.2120, 1.2041, 1.2118
12/01/20, 1.1926, 1.2076, 1.1926, 1.2071
11/30/20, 1.1965, 1.2004, 1.1924, 1.1925
11/27/20, 1.1912, 1.1966, 1.1907, 1.1963
11/26/20, 1.1917, 1.1943, 1.1885, 1.1913
11/25/20, 1.1891, 1.1928, 1.1883, 1.1916
11/24/20, 1.1841, 1.1897, 1.1838, 1.1893
11/23/20, 1.1858, 1.1907, 1.1803, 1.1842
11/20/20, 1.1874, 1.1891, 1.1849, 1.1856
11/19/20, 1.1857, 1.1884, 1.1819, 1.1873
11/18/20, 1.1862, 1.1891, 1.1849, 1.1856
11/17/20, 1.1854, 1.1894, 1.1845, 1.1863
11/16/20, 1.1833, 1.1868, 1.1814, 1.1853
11/13/20, 1.1806, 1.1838, 1.1799, 1.1838
11/12/20, 1.1780, 1.1824, 1.1759, 1.1804
11/11/20, 1.1818, 1.1834, 1.1746, 1.1778
11/10/20, 1.1814, 1.1844, 1.1780, 1.1814
